twitterHandle,walletAddress,quoteTweetLink,claimNumber,createdAt
"01116","0x8Eeee47bA750144A8d68264eb919B0fDDaDdC658","https://x.com/01116/status/2095108606175368389","","2026-09-04T21:15:19.000Z"
"ErichReimer","0x2e1e2b17f3db433ae882379274755670122e23d4","https://x.com/ErichReimer/status/2036026211596419507","143","2026-09-04T10:35:16.000Z"
"02982","0xF746f3fc7e6Ac771023C772339e255b607947925","https://x.com/02982/status/2095080547674461729","","2026-09-04T21:15:03.000Z"
"0328","0xB87CB65b3D3ff9052aD9df7F9ACE2E7B4140b915","https://x.com/0328/status/2095423493410457945","","2026-09-04T21:16:55.000Z"
"03jongbeom","0xAa472edbE1E0cc5e24968c8AaF4b44b0d1674ef6","https://x.com/03jongbeom/status/2095551149235041456","","2026-09-04T21:14:27.000Z"
"0568","0x822B81F37a300ED65b1455a7E084A00C00834768","https://x.com/0568/status/2095395056670245168","","2026-09-04T21:18:19.000Z"
"06527","0x9668fD817601019a99AF735d48B6DA736c5f5F3E","https://x.com/06527/status/2095805733521775654","","2026-09-04T21:20:55.000Z"
"0xKalio","0x182066e0e2aed646516080f5fcaa3cb2071bb8d3","https://x.com/0xKalio/status/1892682790044307774","154","2026-09-04T10:35:35.000Z"
"0905ymm","0xd48271473370DfFF8fbc789b3bbd88C39cf7A245","https://x.com/0905ymm/status/2095959333687492924","426","2026-09-04T19:37:55.000Z"
"esseungxyz","0xd8481d34a18874e142f397f7da2e266f4b53c09e","https://x.com/esseungxyz/status/2095812213194072269?s=20","97","2026-09-04T09:52:42.000Z"
"zvbq1ytb","0x000ff1FD6aECa716dD0fb358Abb616AE22d2778F","","16","2026-09-01T00:38:40.000Z"
"laura63mp8","0x1b3197b20eDf0f91Aa7d6e54720abD7abd4261b5","https://x.com/laura63mp8/status/2092543979601002497","","2026-09-04T08:58:14.000Z"
"omoyeni7573","0x0487Cb6238B6481E332636C3F6C085FC13A1475F","https://x.com/omoyeni7573/status/2095776691050225834?s=46&t=_Wklym7maeTYCLQ4mpKSGQ","67","2026-09-04T07:31:50.000Z"
"Legend_LFW","0xc4766496ea22cb52ff43a7a3d153855b0cf3c8dd","https://x.com/Legend_LFW/status/2043637325876568523","110","2026-09-04T10:34:43.000Z"
"justinsuntron","0x52773785b21c20bc9e143ebf7e5600d99e600656","https://x.com/justinsuntron/status/2035380639252529626","126","2026-09-04T10:34:59.000Z"
"seth_fin","0xd895e2876140d08a8f980663f67165808e288596","https://x.com/seth_fin/status/2026761093108969954","145","2026-09-04T10:35:21.000Z"
"0blivion","0x28b3EB9B5eEABd15F485930CcB85b449DaBfbDD8","https://x.com/0blivion/status/2095203490518566730","","2026-09-04T21:17:26.000Z"
"woonomic","0x106723d972daca4e243894a34c05c4d1f81d3b3e","https://x.com/woonomic/status/1908987678932234728","163","2026-09-04T10:35:47.000Z"
"LLuciano_BTC","0x65c6ad6ce68a87b5ad00c330ac3ff73071a4de6b","https://x.com/LLuciano_BTC/status/2026606904357933450","146","2026-09-04T10:35:23.000Z"
"cryptorover","0x8218556ecba9f926bfee7ddd6fdbdda9ece20942","https://x.com/cryptorover/status/2029152203026440680","130","2026-09-04T10:35:03.000Z"
"0impact","0x4a60BDE679A92D48262Cf46759E4160EA813cab6","https://x.com/0impact/status/2095584664496753722","","2026-09-04T21:14:16.000Z"
"0x010695","0xD59d325B06b9625ae81001352dF00ae2Ffb3D7C8","https://x.com/0x010695/status/2095893921440395678","291","2026-09-04T15:17:56.000Z"
"0x3a50","0xb02F92b76F50f9f6FBe6E357428BaF5DB6ce9fac","https://x.com/0x3a50/status/2095696403013941747","","2026-09-04T21:15:00.000Z"
"0x_cody","0x3cf6d9c3b016578631b2a89cd7a0841920bdc6e8","https://x.com/RBD1924/status/2095881595521732716?s=20","357","2026-09-04T16:51:59.000Z"
"0x_fortune","0xd891C48924B91087d2E747DcafC9eB005F63726b","https://x.com/0x_FORTUNE/status/2095043107726747167","","2026-09-04T21:14:44.000Z"
"0x_zax","0xd9B9431EE5D2A3303F40B0BADf3684A34C6001fB","https://x.com/0x_zax/status/2095457540763699237","","2026-09-04T21:16:06.000Z"
